,External,Year,session 1,session 2,test 1,session 3,session 4,test 2,session 5,test 3,session 6,ind cw,group cw,final grade,forum Q,forum A,office hour visits,dropout
5485,Y,first,1,6,D,,,,,,,,,,3,0,0,Y
5486,N,third,2,6,B,1,23,A,26,A,29,B,C,D,1,3,1,N
5487,Y,third,0,0,D,12,40,C,55,F,,,,,4,2,1,Y
5488,Y,first,5,10,B,,,,,,,,,,3,0,0,Y
5489,Y,third,46,62,A,75,75,B,83,A,55,B,D,D,9,4,1,N
5490,Y,first,59,40,B,3,19,F,49,D,,,,,7,1,0,Y
5491,Y,third,90,88,A,81,36,A,54,A,89,F,A,B,14,5,1,N
5492,Y,third,33,3,A,39,28,C,46,F,21,B,A,A,5,12,9,N
5493,Y,third,35,77,A,73,78,F,86,F,43,B,F,C,13,4,1,N
5494,Y,first,25,81,B,7,91,A,63,A,28,D,F,F,0,8,2,Y
5495,Y,first,0,82,A,73,4,F,64,F,4,F,D,C,2,0,0,Y
5496,N,third,47,65,A,75,88,C,,,,,,,1,2,0,Y
5497,N,third,69,28,B,78,6,D,89,B,47,A,F,F,8,15,3,N
5498,Y,third,30,30,A,75,32,C,26,D,85,A,A,A,8,2,3,N
5499,Y,second,10,16,F,30,32,B,74,C,90,A,F,D,12,19,7,N
5500,N,second,58,0,A,66,72,A,70,D,,,,,4,1,0,Y
5501,Y,third,51,9,B,69,30,D,27,A,64,B,C,A,13,3,1,N
5502,Y,third,35,58,C,80,57,B,26,C,62,C,A,A,7,4,1,N
5503,Y,first,29,50,A,49,41,C,,,,,,,3,1,1,Y
5504,Y,second,31,51,A,71,70,D,11,F,60,A,D,A,11,9,2,N
5505,Y,first,15,2,F,,,,,,,,,,0,0,0,Y
5506,Y,third,38,25,B,18,74,A,54,F,42,B,D,D,12,18,4,N
5507,Y,first,6,10,D,47,36,D,66,D,28,C,C,B,29,3,5,N
5508,N,second,12,3,F,38,30,B,69,C,38,A,A,A,25,10,6,N
5509,N,second,16,24,D,35,35,D,70,C,79,A,F,D,29,8,7,N
5510,Y,third,99,25,F,85,49,D,28,C,65,F,F,F,14,24,6,N
5511,Y,second,88,43,B,85,63,D,69,D,44,A,A,F,5,1,0,Y
5512,Y,third,71,10,B,79,42,C,85,D,11,F,A,A,14,5,1,N
5513,Y,first,97,65,B,63,30,F,23,A,59,B,A,D,6,2,4,N
5514,Y,third,66,52,B,93,57,C,38,D,55,F,A,F,14,16,1,N
5515,N,first,51,48,F,63,63,F,4,D,93,A,C,B,13,21,5,N
5516,N,second,24,19,F,,,,,,,,,,0,1,1,Y
5517,Y,first,93,94,A,71,32,A,27,C,61,A,A,D,3,6,2,N
5518,N,second,4,8,F,,,,,,,,,,7,1,1,Y
5519,N,third,54,55,A,82,83,F,,,,,,,4,1,2,Y
5520,N,third,35,7,F,70,61,B,80,D,43,A,A,F,11,4,4,N
5521,Y,second,45,40,D,20,2,C,,,,,,,3,0,1,Y
5522,Y,third,74,96,C,81,77,F,,,,,,,2,1,2,Y
5523,Y,third,62,66,C,2,25,F,24,F,,,,,9,2,1,Y
5524,Y,second,30,37,F,6,37,F,,,,,,,3,1,0,Y
5525,Y,third,88,74,A,80,93,A,37,A,94,C,B,A,5,12,8,N
5526,Y,third,34,91,B,76,47,A,65,C,64,A,C,A,15,5,4,N
5527,Y,first,45,78,B,79,55,C,87,B,70,A,B,A,9,3,2,N
5528,N,third,2,70,F,58,23,D,53,D,70,A,A,A,9,12,6,N
5529,Y,first,41,99,A,57,57,F,76,A,49,A,A,A,13,6,2,N
5530,N,third,44,61,B,53,25,F,,,,,,,5,0,2,Y
5531,N,third,3,15,A,13,13,A,29,A,28,B,C,C,2,1,1,N
5532,Y,second,10,60,D,82,40,D,90,C,91,D,A,B,11,1,8,N
5533,Y,first,3,12,F,,,,,,,,,,1,1,0,Y
5534,Y,first,63,16,F,70,10,C,55,F,,,,,2,1,0,Y
5535,Y,first,36,46,D,25,40,F,,,,,,,0,1,1,Y
5536,N,first,83,90,A,97,70,B,39,C,32,D,D,A,3,24,7,N
5537,Y,first,21,28,F,,,,,,,,,,4,1,1,Y
5538,N,second,83,12,C,14,62,A,83,F,74,F,A,A,0,14,1,N
5539,Y,first,96,61,A,40,46,D,,,,,,,0,4,2,Y
5540,Y,third,10,17,D,31,37,B,19,D,,,,,8,2,1,Y
5541,Y,third,46,6,A,92,67,B,69,D,52,A,C,C,3,3,4,N
5542,Y,third,73,5,B,90,76,C,45,F,47,A,A,B,12,5,2,N
5543,Y,third,94,43,B,88,32,D,67,B,67,A,A,A,7,3,1,N
5544,N,third,3,14,A,10,49,B,42,A,26,A,A,C,4,2,1,N
5545,Y,first,36,96,D,85,62,A,88,C,78,C,F,C,19,4,3,N
5546,N,third,91,11,F,85,83,B,33,C,66,F,F,D,15,24,4,N
5547,N,second,20,12,F,,,,,,,,,,7,0,1,Y
5548,Y,first,1,4,F,,,,,,,,,,2,1,0,Y
5549,N,third,10,96,C,53,81,A,3,D,77,C,D,D,8,3,9,N
5550,Y,third,98,38,B,62,59,B,38,D,68,A,C,A,8,2,1,N
5551,N,second,38,79,C,73,96,A,91,A,30,A,B,A,5,4,4,N
5552,Y,second,2,7,F,9,50,D,38,A,26,D,F,A,4,1,2,N
5553,Y,first,40,51,D,9,31,F,,,,,,,3,1,1,Y
5554,Y,second,74,91,F,51,58,D,70,B,95,D,B,A,14,9,3,N
5555,N,third,20,42,C,75,54,C,80,B,93,F,F,D,16,9,5,N
5556,Y,first,13,79,B,89,48,B,84,A,92,D,D,A,16,7,4,N
5557,Y,first,33,97,B,10,33,F,20,A,25,D,B,F,1,8,2,Y
5558,Y,second,71,64,D,40,29,D,11,C,37,A,B,C,10,5,2,N
5559,Y,second,48,43,F,75,66,B,51,D,,,,,9,0,1,Y
5560,N,third,90,88,A,69,81,A,42,A,38,B,B,B,15,7,5,N
5561,Y,second,30,2,B,88,32,B,72,F,53,D,F,F,9,5,2,N
5562,Y,third,72,80,D,66,10,F,11,D,26,D,F,D,1,2,2,Y
5563,N,third,16,31,F,,,,,,,,,,2,0,1,Y
5564,Y,first,75,9,D,10,16,D,67,C,13,A,A,A,15,21,2,N
5565,Y,first,61,37,D,33,22,B,11,C,,,,,6,2,0,Y
5566,N,second,65,83,D,53,72,A,18,F,44,F,F,C,10,4,1,N
5567,Y,first,23,51,D,46,4,F,,,,,,,4,1,0,Y
5568,Y,first,49,40,D,14,28,F,,,,,,,4,1,0,Y
5569,Y,third,56,93,B,61,48,A,48,B,87,B,F,A,14,3,2,N
5570,N,first,59,46,D,58,76,F,69,B,10,C,C,A,8,8,7,N
5571,N,third,50,86,A,62,4,B,4,F,74,A,C,F,12,3,4,N
5572,Y,third,1,4,F,,,,,,,,,,0,0,0,Y
5573,N,third,86,31,A,59,42,F,45,B,81,F,B,D,13,7,4,N
5574,N,third,54,91,D,95,43,C,83,D,91,D,A,A,0,4,1,N
5575,N,third,60,53,A,52,90,D,,,,,,,0,0,1,Y
5576,Y,third,87,53,F,62,20,B,76,A,71,A,A,F,5,2,3,N
5577,Y,third,80,65,C,57,52,B,59,B,15,A,A,D,3,7,2,N
5578,Y,first,17,4,C,,,,,,,,,,1,0,0,Y
5579,Y,first,4,35,B,4,69,C,40,F,,,,,3,3,1,Y
5580,Y,second,26,55,D,34,39,D,,,,,,,4,0,0,Y
5581,Y,third,56,39,B,37,3,D,,,,,,,1,1,0,Y
5582,N,third,15,10,F,54,42,F,82,B,57,C,B,C,8,7,8,N
5583,N,third,24,68,B,59,39,F,,,,,,,1,4,2,Y
5584,Y,first,26,72,A,81,5,A,22,F,,,,,9,3,0,Y
5585,Y,first,79,22,D,0,65,C,43,D,9,D,F,F,7,1,2,Y
5586,N,second,83,80,A,84,6,A,53,F,53,A,B,A,10,3,3,N
5587,Y,third,42,59,A,72,61,A,49,F,82,B,D,D,17,9,3,N
5588,N,third,5,2,A,8,21,C,29,A,22,D,A,A,1,2,1,N
5589,Y,first,50,47,C,57,12,F,,,,,,,1,1,0,Y
5590,N,third,87,60,F,84,67,B,82,D,66,B,B,C,1,24,7,N
5591,Y,second,35,53,D,33,58,C,,,,,,,3,0,1,Y
5592,Y,first,13,7,F,,,,,,,,,,1,0,0,Y
5593,N,third,22,59,C,59,15,F,,,,,,,4,0,0,Y
5594,Y,third,90,50,F,55,79,D,,,,,,,7,3,0,Y
5595,N,second,51,65,B,21,22,D,,,,,,,4,4,0,Y
5596,Y,third,91,49,A,78,55,A,46,B,51,A,A,B,6,6,2,N
5597,Y,second,88,86,A,34,71,F,,,,,,,2,0,2,Y
5598,Y,first,43,35,D,40,50,F,,,,,,,0,0,0,Y
5599,N,third,40,50,B,38,60,F,,,,,,,5,0,0,Y
5600,N,third,26,52,A,86,3,C,,,,,,,0,3,2,Y
5601,Y,first,21,36,B,83,93,C,22,A,16,C,D,D,10,2,1,Y
5602,N,second,1,25,D,53,35,D,94,B,58,B,C,B,25,5,8,N
5603,N,second,26,75,A,92,28,A,64,F,,,,,3,0,0,Y
5604,N,third,4,16,A,2,16,C,37,D,28,C,C,A,4,3,2,N
5605,Y,third,46,42,C,36,50,B,75,F,25,F,B,A,19,22,3,N
5606,N,first,98,68,C,69,43,C,18,D,76,A,A,A,0,13,5,N
5607,Y,second,39,46,B,72,49,C,21,F,12,B,F,A,7,5,3,N
5608,Y,third,14,7,D,21,23,F,18,F,,,,,7,2,0,Y
5609,Y,third,46,57,B,87,66,B,55,F,,,,,2,0,1,Y
5610,Y,second,60,94,B,64,43,A,79,A,27,A,B,F,8,4,1,N
5611,Y,second,38,43,B,2,2,F,,,,,,,3,1,1,Y
5612,N,second,26,68,C,39,5,F,,,,,,,6,0,2,Y
5613,N,third,78,86,F,62,9,C,50,D,65,A,B,B,6,16,7,N
5614,N,third,84,39,A,66,95,B,12,D,44,B,C,F,4,9,1,N
5615,N,second,35,8,B,73,53,B,17,D,19,D,A,C,7,13,5,N
5616,Y,third,39,52,B,65,74,A,54,A,52,C,D,D,8,5,5,N
5617,N,second,99,70,C,91,21,A,45,C,73,A,D,A,16,23,3,N
5618,Y,third,7,98,F,13,54,F,27,A,68,B,F,D,16,21,4,N
5619,Y,second,50,52,A,84,61,A,31,F,33,A,F,C,11,7,4,N
5620,Y,third,82,9,B,94,38,A,87,A,71,A,B,B,4,2,3,N
5621,Y,first,22,73,F,94,65,A,86,B,98,C,D,A,12,10,1,N
5622,N,third,21,36,F,,,,,,,,,,4,1,0,Y
5623,Y,second,30,11,D,47,57,C,8,B,75,F,D,F,10,3,3,N
5624,N,third,50,57,D,69,14,D,,,,,,,6,2,2,Y
5625,Y,first,91,81,A,68,52,A,6,B,23,D,A,C,17,7,3,N
5626,Y,first,8,8,D,,,,,,,,,,0,0,1,Y
5627,Y,third,25,28,C,,,,,,,,,,0,1,0,Y
5628,N,third,2,7,F,8,56,F,48,B,29,A,C,C,1,2,1,N
5629,N,third,26,71,A,55,81,B,80,D,54,B,A,A,12,18,4,N
5630,N,third,25,12,F,,,,,,,,,,1,0,1,Y
5631,Y,first,40,55,B,16,4,C,,,,,,,2,0,1,Y
5632,N,third,99,94,D,40,44,A,24,D,68,F,A,D,17,4,1,N
5633,N,third,6,23,B,68,70,F,14,C,32,B,A,F,8,10,3,N
5634,Y,third,21,42,B,53,43,A,21,F,,,,,8,0,1,Y
5635,Y,first,29,3,A,35,51,A,62,B,32,C,F,F,5,6,2,Y
5636,Y,first,94,8,A,61,12,C,34,D,16,F,D,D,8,3,2,Y
5637,Y,first,68,63,A,28,72,F,68,C,96,D,F,D,8,2,1,N
5638,N,third,11,6,F,,,,,,,,,,6,2,1,Y
5639,Y,first,12,58,A,94,65,A,25,B,89,A,C,A,12,6,2,N
5640,Y,first,78,76,F,20,35,A,38,B,6,F,F,D,12,2,2,Y
5641,N,third,34,52,B,41,89,F,,,,,,,1,0,1,Y
5642,Y,second,19,12,F,,,,,,,,,,3,0,1,Y
5643,Y,first,12,11,F,,,,,,,,,,3,0,0,Y
5644,Y,first,77,46,A,53,26,A,45,A,71,C,A,C,4,6,4,N
5645,N,first,97,61,A,64,41,A,31,C,91,A,A,C,19,5,4,N
5646,Y,third,71,72,A,66,6,C,54,A,10,A,F,D,14,5,3,Y
5647,N,first,84,58,D,68,60,C,50,C,50,A,C,F,16,21,1,N
5648,Y,third,52,70,A,53,31,B,51,F,60,F,A,B,11,8,4,N
5649,Y,third,98,23,B,2,27,A,73,C,86,F,A,C,13,23,4,N
5650,Y,first,23,47,D,64,2,A,18,D,,,,,9,1,0,Y
5651,N,third,26,56,C,40,22,C,,,,,,,4,4,2,Y
5652,Y,third,74,77,A,83,56,B,89,F,85,A,B,B,8,2,4,N
5653,N,second,68,43,D,46,2,D,59,D,46,A,A,C,3,12,3,N
5654,Y,first,11,7,F,,,,,,,,,,2,0,0,Y
5655,Y,first,57,89,C,79,19,C,35,D,10,F,B,D,12,8,1,Y
5656,Y,second,96,35,F,71,34,B,59,B,76,C,C,B,11,4,3,N
5657,N,first,94,76,F,40,97,D,20,F,43,C,A,A,0,23,9,N
5658,N,third,76,52,F,61,80,D,,,,,,,6,0,2,Y
5659,N,third,96,86,D,17,19,C,7,A,42,F,D,A,5,12,5,N
5660,Y,first,59,52,A,83,79,A,63,F,59,D,A,A,13,7,3,N
5661,Y,first,0,43,B,19,16,A,59,D,,,,,6,2,0,Y
5662,Y,third,75,76,A,88,77,D,66,D,81,C,A,A,15,8,2,N
5663,Y,first,69,38,A,87,67,C,53,F,,,,,2,1,1,Y
5664,N,third,9,88,A,26,11,A,78,D,,,,,10,4,1,Y
5665,N,third,28,12,F,,,,,,,,,,4,2,1,Y
5666,N,third,87,56,A,88,59,A,,,,,,,1,4,1,Y
5667,N,third,9,5,F,5,48,C,39,B,27,A,C,C,1,2,2,N
5668,N,second,6,37,B,72,78,A,61,D,45,B,B,A,2,23,1,N
5669,Y,second,31,8,B,89,34,F,22,D,83,F,D,D,4,7,5,N
5670,Y,third,10,6,D,,,,,,,,,,2,0,1,Y
5671,Y,first,13,68,B,7,69,F,21,D,,,,,4,2,1,Y
5672,Y,first,91,37,F,62,57,D,79,F,57,F,A,C,6,5,4,N
5673,Y,third,24,52,D,32,33,D,,,,,,,2,0,1,Y
5674,N,second,43,60,B,15,96,C,,,,,,,2,4,1,Y
5675,Y,first,15,64,B,80,22,F,50,D,,,,,1,1,0,Y
5676,N,third,66,8,D,17,85,B,32,A,44,A,A,C,13,14,9,N
5677,Y,second,92,31,A,45,99,A,8,B,61,F,A,D,4,3,3,N
5678,N,second,16,14,D,43,39,D,60,B,77,F,F,C,29,8,6,N
5679,N,first,69,63,C,50,19,A,73,B,48,D,C,B,5,3,5,N
5680,Y,first,31,40,D,50,55,C,56,B,82,C,A,A,6,3,1,N
5681,Y,third,53,74,F,72,28,A,58,B,97,A,D,A,16,9,4,N
5682,Y,third,87,58,A,82,50,C,69,C,42,D,D,F,2,2,1,N
5683,N,second,9,26,F,20,51,D,86,B,46,B,B,C,21,12,7,N
5684,Y,first,16,19,F,,,,,,,,,,3,0,1,Y
5685,N,second,10,14,D,50,43,F,64,B,80,A,A,B,28,17,5,N
5686,Y,third,94,21,D,41,24,A,77,A,30,A,D,D,5,22,4,N
5687,Y,second,50,33,D,6,12,D,7,B,35,B,C,B,17,10,8,N
5688,Y,first,16,74,F,79,60,F,46,F,,,,,1,0,1,Y
5689,Y,third,8,13,D,57,42,C,75,C,50,C,D,A,8,14,5,N
5690,Y,first,40,42,D,24,26,F,,,,,,,1,1,1,Y
5691,N,first,67,68,D,39,51,D,,,,,,,5,1,1,Y
5692,Y,first,15,52,F,39,87,D,41,C,30,D,A,A,5,20,8,N
5693,N,third,57,59,A,45,72,F,75,C,,,,,2,1,1,Y
5694,Y,third,36,38,F,16,71,C,56,D,40,D,F,F,0,19,7,N
5695,N,third,6,14,B,5,46,A,37,A,21,A,C,C,3,2,2,N
5696,N,third,6,7,A,10,40,D,40,A,20,A,A,C,0,2,1,N
5697,N,second,14,20,B,,,,,,,,,,7,1,1,Y
5698,N,third,90,27,B,90,73,D,75,A,36,F,C,A,0,10,7,N
5699,N,second,64,76,A,67,44,F,,,,,,,1,0,0,Y
5700,Y,second,61,86,A,74,69,F,45,D,,,,,3,2,1,Y
5701,Y,third,52,94,A,94,36,F,63,D,37,C,C,A,4,4,4,N
5702,Y,third,6,7,A,9,36,D,45,B,28,B,F,C,1,3,2,N
5703,Y,second,3,82,A,88,38,D,55,F,39,A,D,F,5,9,8,N
5704,Y,first,45,37,D,35,5,F,,,,,,,2,1,1,Y
5705,Y,third,51,79,A,50,70,D,21,F,50,C,F,A,12,7,3,N
5706,N,third,27,50,A,88,79,F,,,,,,,4,3,0,Y
5707,Y,first,1,5,D,,,,,,,,,,3,0,0,Y
5708,Y,third,38,40,A,1,76,A,53,B,38,B,C,F,1,0,3,Y
5709,Y,first,47,75,F,17,18,B,37,F,,,,,8,3,0,Y
5710,N,third,29,54,C,83,40,F,,,,,,,7,2,0,Y
5711,Y,third,61,71,A,79,66,B,73,C,76,A,F,C,4,2,3,N
5712,Y,first,65,12,F,20,47,A,6,D,97,A,B,D,2,1,4,N
5713,N,second,92,9,A,34,94,B,60,A,15,B,D,D,11,2,9,N
5714,N,third,5,13,F,12,28,B,36,A,21,B,D,D,1,3,1,N
5715,N,first,23,30,C,72,38,D,19,C,72,A,C,A,3,20,5,N
5716,N,first,48,76,A,48,57,A,37,C,93,B,A,F,14,7,3,N
5717,N,third,8,5,F,13,46,B,34,A,29,D,A,C,3,2,2,N
5718,Y,first,42,44,F,26,31,F,,,,,,,4,0,0,Y
5719,N,second,24,3,B,,,,,,,,,,4,2,1,Y
5720,Y,first,46,57,C,26,36,F,,,,,,,2,1,0,Y
5721,Y,third,11,70,F,55,23,A,84,D,75,B,C,A,15,5,4,N
5722,N,third,11,15,F,,,,,,,,,,6,2,0,Y
5723,Y,first,81,44,B,87,82,F,18,B,26,D,D,A,9,22,9,N
5724,N,third,10,2,F,,,,,,,,,,0,2,0,Y
5725,Y,third,19,53,D,,,,,,,,,,3,2,0,Y
5726,Y,first,12,9,F,,,,,,,,,,0,1,0,Y
5727,Y,third,2,13,B,12,27,C,29,B,27,A,B,A,2,2,2,N
5728,Y,third,66,58,D,65,68,B,66,D,95,A,D,A,13,5,4,N
5729,N,second,28,8,F,,,,,,,,,,3,2,1,Y
5730,N,first,84,83,F,69,44,D,,,,,,,6,2,1,Y
5731,Y,first,69,68,A,83,80,D,,,,,,,2,3,0,Y
5732,Y,first,42,68,F,57,88,F,4,D,37,F,D,F,0,4,1,Y
5733,N,third,1,9,F,,,,,,,,,,3,0,0,Y
5734,Y,first,48,1,D,57,38,C,42,F,,,,,6,1,1,Y
5735,Y,third,87,57,A,49,12,D,33,C,39,B,F,C,8,3,3,Y
5736,N,third,28,76,C,43,49,F,83,D,,,,,10,3,2,Y
5737,N,second,3,8,F,7,45,B,42,B,27,B,C,A,3,2,2,N
5738,Y,first,26,46,D,5,57,A,27,C,,,,,8,2,0,Y
5739,N,third,17,29,F,,,,,,,,,,6,2,0,Y
5740,Y,first,2,33,A,32,21,A,42,F,,,,,1,2,1,Y
5741,Y,third,46,23,A,51,27,A,70,F,22,A,A,B,13,3,4,N
5742,Y,first,28,8,F,39,44,D,66,B,90,A,C,A,13,11,7,N
5743,Y,second,60,66,F,60,32,B,13,F,77,A,F,A,17,6,2,N
5744,Y,first,23,25,C,,,,,,,,,,0,2,0,Y
5745,Y,third,58,25,A,59,16,F,29,C,,,,,8,3,1,Y
5746,N,first,28,71,A,24,41,B,55,D,6,C,A,A,19,20,2,N
5747,Y,third,78,77,A,72,21,A,16,D,87,F,F,B,9,9,4,N
5748,Y,second,22,72,D,68,11,B,21,D,58,B,A,D,7,5,1,Y
5749,N,third,51,52,A,88,1,D,,,,,,,3,4,0,Y
5750,Y,third,26,58,B,44,50,C,62,B,13,D,D,B,13,0,1,Y
5751,N,second,7,76,D,8,75,F,55,F,62,C,C,A,4,9,1,N
5752,Y,second,95,53,D,89,55,D,82,C,84,F,F,F,11,7,2,N
5753,N,first,8,43,D,79,38,A,21,F,31,B,A,C,13,18,5,N
5754,Y,second,83,1,B,33,23,C,29,D,77,A,B,C,3,17,2,N
5755,Y,third,4,5,A,13,57,D,44,F,23,A,A,C,3,1,1,N
5756,Y,first,64,19,A,55,26,A,52,A,57,B,D,A,11,2,2,N
5757,Y,third,80,6,B,45,86,F,57,A,57,A,F,A,8,23,3,N
5758,N,first,76,58,A,82,80,A,,,,,,,7,2,1,Y
5759,N,third,63,10,A,10,53,F,73,F,,,,,3,2,2,Y
5760,Y,third,44,22,B,90,40,D,33,A,86,A,F,A,11,6,4,N
5761,Y,first,1,81,B,16,66,D,17,F,35,F,D,F,13,2,0,Y
5762,N,third,3,36,C,95,6,B,62,D,87,F,A,D,14,14,5,N
5763,Y,first,84,14,D,7,54,C,20,B,33,F,F,D,0,16,1,N
5764,Y,second,20,78,B,45,88,A,30,B,7,A,D,B,1,22,2,N
5765,Y,first,13,82,C,19,97,B,80,F,78,C,A,B,15,24,4,N
5766,Y,third,4,11,F,7,47,C,31,A,24,B,F,D,0,2,2,N
5767,N,first,35,25,B,49,55,B,39,F,44,D,A,B,4,9,3,N
5768,Y,first,82,44,A,52,41,A,79,B,64,D,A,A,3,4,1,N
5769,Y,third,10,25,F,43,37,D,72,B,82,D,F,A,8,19,5,N
5770,Y,third,56,36,A,60,66,F,31,F,24,D,A,D,5,4,3,N
5771,Y,first,42,37,D,45,39,D,,,,,,,2,0,0,Y
5772,N,second,46,77,B,84,71,A,72,F,,,,,11,1,1,Y
5773,N,third,74,28,B,5,30,F,22,F,37,F,C,C,12,6,6,N
5774,N,second,14,21,D,22,36,C,73,C,31,B,C,C,21,8,4,N
5775,N,third,58,49,F,16,65,A,58,F,,,,,5,1,1,Y
5776,N,second,9,3,D,48,37,D,75,F,60,C,A,C,29,8,7,N
5777,N,second,25,38,F,,,,,,,,,,3,0,1,Y
5778,Y,third,87,63,A,70,65,A,34,D,21,C,B,F,9,4,1,N
5779,N,third,5,13,A,5,49,D,26,F,27,A,D,C,3,3,1,N
5780,N,second,87,71,F,47,84,A,,,,,,,6,4,1,Y
5781,N,third,19,93,F,31,6,D,62,B,77,C,A,D,13,15,5,N
5782,N,third,12,3,F,,,,,,,,,,5,1,0,Y
5783,N,second,86,94,D,27,99,D,55,B,75,D,F,C,17,3,7,N
5784,Y,third,51,14,A,75,89,F,8,F,52,A,A,A,12,19,4,N
5785,N,third,1,69,F,93,54,D,80,D,31,A,C,B,1,10,2,N
5786,N,first,69,68,D,32,79,F,,,,,,,1,1,1,Y
5787,N,third,94,38,A,57,35,B,24,C,82,D,D,B,7,5,9,N
5788,Y,first,45,27,A,47,20,F,34,D,34,C,F,F,4,2,1,Y
5789,N,third,90,19,A,79,73,C,76,B,,,,,0,2,2,Y
5790,N,second,93,31,C,69,41,F,87,B,50,D,B,F,1,23,4,N
5791,Y,second,67,58,A,68,65,A,0,C,71,F,F,A,7,8,2,N
5792,Y,third,63,62,A,70,80,C,58,F,39,F,A,F,9,6,2,Y
5793,Y,first,65,50,A,67,91,A,73,B,81,A,F,A,12,11,5,N
5794,N,first,34,10,D,52,97,B,18,D,77,C,D,C,11,11,7,N
5795,Y,third,63,84,B,84,26,A,39,F,44,F,F,A,4,5,2,N
5796,N,third,18,16,F,,,,,,,,,,0,2,1,Y
5797,Y,second,63,26,D,13,39,A,21,B,91,B,F,C,19,11,8,N
5798,N,second,14,27,F,45,39,B,87,C,32,B,C,D,8,6,5,N
5799,N,third,47,30,A,91,72,F,69,F,,,,,6,3,1,Y
5800,Y,third,11,95,C,38,2,D,64,B,30,F,F,A,1,22,1,N
5801,Y,second,96,44,A,23,21,D,39,F,44,C,F,D,5,24,1,N
5802,Y,second,39,5,C,82,40,F,14,D,,,,,1,1,0,Y
5803,N,third,15,15,F,,,,,,,,,,5,2,0,Y
5804,Y,third,91,84,A,70,38,F,46,B,60,B,C,A,12,6,4,N
5805,Y,second,19,78,A,15,4,D,86,C,69,D,F,C,6,2,3,Y
5806,Y,first,99,50,D,37,90,F,,,,,,,3,1,1,Y
5807,Y,third,76,79,D,29,37,F,16,D,,,,,7,2,0,Y
5808,Y,first,28,86,C,47,93,F,26,D,35,D,B,F,4,4,3,Y
5809,Y,first,84,90,F,31,68,F,18,F,13,B,F,F,14,1,1,Y
5810,N,first,1,23,F,55,47,D,88,A,32,B,F,C,10,3,6,N
5811,Y,second,64,77,F,86,21,A,79,D,58,C,F,F,12,6,2,N
5812,Y,third,34,36,A,44,66,C,1,F,86,D,A,A,15,20,6,N
5813,N,third,52,59,A,62,72,D,,,,,,,3,1,1,Y
5814,N,third,32,91,F,62,83,D,34,A,29,C,B,A,10,11,8,N
5815,Y,first,50,30,B,72,65,B,26,D,,,,,9,0,1,Y
5816,N,third,7,6,F,,,,,,,,,,0,0,0,Y
5817,N,second,60,60,B,26,74,D,,,,,,,2,0,2,Y
5818,N,second,77,55,C,19,21,F,57,A,62,D,C,A,10,21,2,N
5819,N,second,24,2,F,,,,,,,,,,6,0,0,Y
5820,Y,third,57,59,A,66,79,F,13,F,72,A,D,B,10,6,4,N
5821,Y,third,67,71,A,65,50,A,59,B,74,C,F,D,6,9,4,N
5822,N,third,64,52,C,96,67,D,42,A,31,B,A,F,17,7,7,N
5823,Y,third,99,11,F,66,49,D,64,D,,,,,5,2,0,Y
5824,N,third,61,65,A,36,68,F,,,,,,,0,3,0,Y
5825,N,second,69,96,A,45,57,C,38,C,24,A,C,F,4,8,6,N
5826,Y,third,11,46,F,60,65,B,22,D,,,,,0,3,0,Y
5827,Y,first,3,12,F,,,,,,,,,,3,0,1,Y
5828,N,third,41,86,C,19,78,C,91,B,,,,,2,0,3,Y
5829,N,third,61,67,A,42,63,F,,,,,,,0,4,0,Y
5830,Y,third,52,64,F,72,68,B,29,F,78,A,F,A,14,6,4,N
5831,N,first,13,60,C,42,41,C,61,A,52,D,F,D,14,21,5,N
5832,N,second,56,48,A,39,45,C,51,B,47,B,B,A,6,11,2,N
5833,Y,first,17,61,B,14,22,B,67,D,,,,,4,0,1,Y
5834,Y,third,54,82,A,80,48,B,30,F,86,A,F,A,6,2,3,N
5835,Y,second,26,73,F,50,8,B,32,F,,,,,7,0,1,Y
5836,Y,first,94,99,A,84,31,A,49,F,12,D,C,B,2,7,1,N
5837,N,first,4,8,D,51,45,D,89,C,58,A,A,C,5,10,4,N
5838,Y,first,49,35,C,41,46,F,,,,,,,4,1,0,Y
5839,N,third,30,11,D,70,18,F,63,F,,,,,9,1,1,Y
5840,Y,first,63,89,A,78,50,A,25,F,43,F,A,B,5,2,1,N
5841,N,first,79,3,D,60,1,A,29,B,58,F,D,D,2,10,6,N
5842,N,third,61,43,A,45,45,B,43,B,52,B,D,D,10,3,4,N
5843,Y,second,44,73,C,7,64,B,36,D,,,,,7,3,1,Y
5844,N,second,25,27,B,,,,,,,,,,5,1,1,Y
5845,N,first,96,51,F,32,66,F,,,,,,,5,4,1,Y
5846,N,third,48,55,A,49,66,F,,,,,,,0,4,2,Y
5847,N,second,87,81,C,41,43,A,15,C,91,D,F,A,6,20,9,N
5848,Y,second,20,61,F,76,55,B,11,F,84,D,F,B,11,6,5,N
5849,N,second,4,8,D,22,42,F,95,F,31,C,F,B,10,17,4,N
5850,Y,second,84,53,D,53,28,B,66,A,67,A,A,A,11,6,5,N
5851,N,third,2,2,A,4,19,F,35,F,26,D,A,C,4,2,1,N
5852,N,third,1,8,F,,,,,,,,,,1,2,0,Y
5853,Y,second,38,8,D,65,67,C,23,F,,,,,0,1,0,Y
5854,Y,third,64,26,B,10,90,D,42,B,21,A,A,D,10,24,1,N
